iter	MultiClass
0	1.349111969
1	1.313206505
2	1.277865721
3	1.247271766
4	1.217991997
5	1.194816308
6	1.172234305
7	1.152830485
8	1.131626839
9	1.113002398
10	1.097345629
11	1.079473072
12	1.063278565
13	1.046149519
14	1.029986436
15	1.020322511
16	1.005932162
17	0.9922349554
18	0.9795321914
19	0.9650738364
20	0.9569129213
21	0.9471035856
22	0.9411110395
23	0.9295979255
24	0.9192285664
25	0.9140551214
26	0.905924223
27	0.8992809298
28	0.8909785469
29	0.8789332268
30	0.8751184969
31	0.8668147044
32	0.8597967781
33	0.8508872187
34	0.8478963779
35	0.8396320183
36	0.830971973
37	0.8215865321
38	0.8138180169
39	0.8068923771
40	0.8006531478
41	0.7938998041
42	0.7871366378
43	0.781645377
44	0.7734106879
45	0.7710689295
46	0.7663476951
47	0.7583811347
48	0.7533089932
49	0.7450909009
50	0.7390689344
51	0.7302808956
52	0.7224525011
53	0.7148097021
54	0.7101435146
55	0.7015844417
56	0.6946206061
57	0.6869384062
58	0.6817969465
59	0.6753670695
60	0.6679314651
61	0.6586257797
62	0.651845864
63	0.6456601028
64	0.6412761121
65	0.6357173866
66	0.63180192
67	0.627089259
68	0.6220586192
69	0.6161151523
70	0.6101613665
71	0.6047832246
72	0.5994552618
73	0.5947059414
74	0.5885867571
75	0.583779819
76	0.5786533989
77	0.5760086179
78	0.5713493416
79	0.5659499708
80	0.5599486928
81	0.5531814525
82	0.5464011365
83	0.5407268749
84	0.5333682913
85	0.5293896404
86	0.525736283
87	0.5174406065
88	0.5105871594
89	0.5063532634
90	0.5040468873
91	0.4996983267
92	0.4968875437
93	0.4923986909
94	0.4880809238
95	0.4837376894
96	0.4791133256
97	0.4745758225
98	0.4695822286
99	0.465126128
100	0.4621536133
101	0.4583739211
102	0.4534000228
103	0.4474691257
104	0.4455717745
105	0.4420516274
106	0.4388854866
107	0.4361970229
108	0.4344369197
109	0.4320443778
110	0.4301203803
111	0.425200763
112	0.42171515
113	0.4185146525
114	0.4144509911
115	0.4103644726
116	0.4066759108
117	0.4031616421
