iter	Passed	Remaining
0	63	63770
1	112	56145
2	156	52112
3	201	50234
4	231	46028
5	273	45321
6	316	44960
7	325	40336
8	352	38805
9	395	39119
10	412	37061
11	454	37432
12	500	38006
13	566	39929
14	593	38996
15	602	37049
16	650	37602
17	701	38270
18	748	38669
19	808	39636
20	838	39086
21	883	39272
22	908	38572
23	953	38784
24	999	38998
25	1023	38359
26	1069	38546
27	1120	38896
28	1167	39078
29	1214	39274
30	1223	38256
31	1268	38372
32	1315	38560
33	1373	39031
34	1422	39210
35	1480	39635
36	1523	39642
37	1575	39879
38	1618	39871
39	1659	39834
40	1701	39796
41	1722	39298
42	1763	39254
43	1820	39562
44	1862	39524
45	1877	38931
46	1931	39154
47	1974	39165
48	2016	39144
49	2059	39125
50	2100	39083
51	2142	39059
52	2185	39055
53	2237	39190
54	2280	39183
55	2323	39173
56	2366	39143
57	2409	39127
58	2451	39100
59	2491	39037
60	2536	39050
61	2578	39005
62	2621	38996
63	2668	39020
64	2710	38995
65	2756	39006
66	2802	39021
67	2847	39031
68	2892	39026
69	2938	39041
70	2985	39065
71	3029	39044
72	3075	39049
73	3125	39114
74	3168	39083
75	3212	39058
76	3259	39074
77	3302	39040
78	3358	39149
79	3403	39143
80	3452	39170
81	3496	39146
82	3539	39104
83	3582	39070
84	3633	39113
85	3676	39077
86	3719	39031
87	3761	38982
88	3803	38936
89	3856	38991
90	3899	38949
91	3940	38893
92	3988	38895
93	4035	38897
94	4091	38976
95	4140	38988
96	4186	38970
97	4230	38933
98	4271	38878
99	4322	38906
100	4363	38843
101	4405	38788
102	4461	38854
103	4503	38799
104	4547	38761
105	4601	38809
106	4645	38768
107	4689	38730
108	4740	38746
109	4794	38793
110	4840	38765
111	4885	38738
112	4933	38725
113	4982	38724
114	5032	38731
115	5079	38707
116	5123	38669
117	5170	38643
118	5216	38618
119	5262	38590
120	5304	38537
121	5351	38513
122	5392	38447
123	5446	38476
124	5489	38427
125	5531	38366
126	5574	38321
127	5631	38363
128	5674	38315
129	5717	38265
130	5760	38212
131	5817	38251
132	5861	38208
133	5903	38151
134	5945	38096
135	5990	38059
136	6032	38000
137	6076	37953
138	6118	37898
139	6160	37842
140	6202	37789
141	6245	37736
142	6294	37720
143	6342	37701
144	6385	37652
145	6427	37594
