Driver,GrandPrix,DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Strategy,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps
VET,Australian Grand Prix 2018,15.85,26.1,3.0,1.0,1,25,C4,32,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
HAM,Australian Grand Prix 2018,18.15,33.4,1.0,2.0,1,17,C4,39,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
RAI,Australian Grand Prix 2018,10.25,26.1,2.0,3.0,1,17,C4,40,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
RIC,Australian Grand Prix 2018,10.0,18.4,8.0,4.0,1,25,C3,32,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
ALO,Australian Grand Prix 2018,0.85,1.5,10.0,5.0,1,25,C4,32,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
VER,Australian Grand Prix 2018,8.4,18.4,4.0,6.0,1,20,C3,37,C2,0,,0,,C3-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
HUL,Australian Grand Prix 2018,2.15,2.85,7.0,7.0,1,23,C4,34,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
BOT,Australian Grand Prix 2018,15.25,33.4,15.0,8.0,1,24,C4,33,C3,0,,0,,C4-C3,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
VAN,Australian Grand Prix 2018,0.65,1.5,11.0,9.0,1,24,C4,33,C3,0,,0,,C4-C3,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
SAI,Australian Grand Prix 2018,2.7,2.85,9.0,10.0,1,21,C4,36,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
PER,Australian Grand Prix 2018,5.0,9.35,12.0,11.0,1,23,C4,34,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
OCO,Australian Grand Prix 2018,4.35,9.35,14.0,12.0,1,22,C4,35,C2,0,,0,,C4-C2,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
LEC,Australian Grand Prix 2018,0.0,0.25,18.0,13.0,2,19,C3,7,C2,31,C4,0,,C3-C2-C4,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
STR,Australian Grand Prix 2018,2.0,4.15,13.0,14.0,2,24,C3,4,C2,29,C4,0,,C3-C2-C4,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
HAR,Australian Grand Prix 2018,0.0,2.65,16.0,15.0,1,21,C2,35,C4,0,,0,,C2-C4,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
VET,Bahrain Grand Prix 2018,25.0,40.0,1.0,1.0,1,16,C3,39,C2,0,,0,,C3-C2,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
BOT,Bahrain Grand Prix 2018,4.0,22.0,3.0,2.0,1,19,C3,37,C1,0,,0,,C3-C1,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
HAM,Bahrain Grand Prix 2018,18.0,22.0,9.0,3.0,1,25,C2,31,C1,0,,0,,C2-C1,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
GAS,Bahrain Grand Prix 2018,0.0,0.0,5.0,4.0,2,14,C3,19,C2,23,C3,0,,C3-C2-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
MAG,Bahrain Grand Prix 2018,0.0,0.0,6.0,5.0,2,12,C3,14,C3,30,C2,0,,C3-C3-C2,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
HUL,Bahrain Grand Prix 2018,6.0,7.0,7.0,6.0,2,14,C3,24,C2,18,C3,0,,C3-C2-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
ALO,Bahrain Grand Prix 2018,10.0,12.0,13.0,7.0,2,13,C2,25,C1,17,C3,0,,C2-C1-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
VAN,Bahrain Grand Prix 2018,2.0,12.0,14.0,8.0,2,9,C3,18,C2,28,C1,0,,C3-C2-C1,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
ERI,Bahrain Grand Prix 2018,0.0,0.0,17.0,9.0,1,22,C2,33,C1,0,,0,,C2-C1,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
OCO,Bahrain Grand Prix 2018,0.0,0.0,8.0,10.0,2,14,C3,20,C1,21,C2,0,,C3-C1-C2,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
SAI,Bahrain Grand Prix 2018,1.0,7.0,10.0,11.0,2,15,C3,10,C3,30,C2,0,,C3-C3-C2,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
LEC,Bahrain Grand Prix 2018,0.0,0.0,19.0,12.0,2,2,C2,31,C1,22,C3,0,,C2-C1-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
GRO,Bahrain Grand Prix 2018,0.0,0.0,16.0,13.0,3,17,C3,12,C2,15,C3,11,C3,C3-C2-C3-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
STR,Bahrain Grand Prix 2018,0.0,0.0,20.0,14.0,2,9,C2,20,C3,26,C1,0,,C2-C3-C1,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
SIR,Bahrain Grand Prix 2018,0.0,0.0,18.0,15.0,2,21,C2,18,C1,16,C3,0,,C2-C1-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
PER,Bahrain Grand Prix 2018,0.0,0.0,12.0,16.0,2,8,C2,23,C1,24,C3,0,,C2-C1-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
HAR,Bahrain Grand Prix 2018,0.0,0.0,11.0,17.0,2,19,C3,22,C2,14,C3,0,,C3-C2-C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
RIC,Chinese Grand Prix 2018,6.0,10.0,6.0,1.0,1,46,C4,9,C2,0,,0,,C4-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
BOT,Chinese Grand Prix 2018,11.0,27.5,3.0,2.0,1,46,C2,9,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
RAI,Chinese Grand Prix 2018,7.5,32.5,2.0,3.0,1,46,C2,9,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
HAM,Chinese Grand Prix 2018,16.5,27.5,4.0,4.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
VER,Chinese Grand Prix 2018,4.0,10.0,5.0,5.0,1,45,C4,10,C2,0,,0,,C4-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
HUL,Chinese Grand Prix 2018,7.0,7.5,7.0,6.0,1,45,C4,10,C2,0,,0,,C4-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
ALO,Chinese Grand Prix 2018,8.0,11.0,13.0,7.0,1,46,C2,9,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
VET,Chinese Grand Prix 2018,25.0,32.5,1.0,8.0,1,44,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
SAI,Chinese Grand Prix 2018,0.5,7.5,9.0,9.0,1,45,C4,10,C2,0,,0,,C4-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
MAG,Chinese Grand Prix 2018,5.0,5.0,11.0,10.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
OCO,Chinese Grand Prix 2018,0.5,0.5,12.0,11.0,1,45,C2,10,C4,0,,0,,C2-C4,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
PER,Chinese Grand Prix 2018,0.0,0.5,8.0,12.0,1,45,C4,10,C2,0,,0,,C4-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
VAN,Chinese Grand Prix 2018,3.0,11.0,14.0,13.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
STR,Chinese Grand Prix 2018,0.0,0.0,18.0,14.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
SIR,Chinese Grand Prix 2018,0.0,0.0,16.0,15.0,1,45,C2,10,C2,0,,0,,C2-C2,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
ERI,Chinese Grand Prix 2018,1.0,1.0,20.0,16.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
GRO,Chinese Grand Prix 2018,0.0,5.0,10.0,17.0,1,45,C4,10,C4,0,,0,,C4-C4,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
GAS,Chinese Grand Prix 2018,6.0,6.0,17.0,18.0,1,45,C1,10,C4,0,,0,,C1-C4,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
LEC,Chinese Grand Prix 2018,0.0,1.0,19.0,19.0,1,45,C2,10,C1,0,,0,,C2-C1,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
HAM,Azerbaijan Grand Prix 2018,15.0,28.333333333333332,2.0,1.0,2,21,C3,18,C2,11,C4,0,,C3-C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
RAI,Azerbaijan Grand Prix 2018,10.0,28.0,6.0,2.0,1,39,C2,11,C4,0,,0,,C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
PER,Azerbaijan Grand Prix 2018,0.0,0.3333333333333333,8.0,3.0,2,1,C4,38,C2,11,C3,0,,C4-C2-C3,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
VET,Azerbaijan Grand Prix 2018,18.0,28.0,1.0,4.0,2,28,C3,10,C2,11,C4,0,,C3-C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
SAI,Azerbaijan Grand Prix 2018,1.0,8.333333333333334,9.0,5.0,2,14,C4,25,C2,11,C4,0,,C4-C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
