GrandPrix,Strategy,AvgOverperformance,AvgFinishPosition,Count
Australian Grand Prix 2018,C4-C2,-2.1780513872715184,6.375,8
Australian Grand Prix 2018,C3-C2,-1.5304976847252068,5.0,2
Australian Grand Prix 2018,C4-C3,-0.9707744297382357,8.5,2
Australian Grand Prix 2018,C3-C2-C4,-3.561891138814929,13.5,2
Australian Grand Prix 2018,C2-C4,-3.8220584318294026,15.0,1
Bahrain Grand Prix 2018,C3-C2,-0.42123971939156146,1.0,1
Bahrain Grand Prix 2018,C3-C1,-0.2613878596494339,2.0,1
Bahrain Grand Prix 2018,C2-C1,2.760293399092887,6.0,2
Bahrain Grand Prix 2018,C3-C2-C3,-2.905012231202319,9.0,3
Bahrain Grand Prix 2018,C3-C3-C2,-2.1196484999423717,8.0,2
Bahrain Grand Prix 2018,C2-C1-C3,-1.67134567131604,12.5,4
Bahrain Grand Prix 2018,C3-C2-C1,0.09993559848762068,8.0,1
Bahrain Grand Prix 2018,C3-C1-C2,-2.881992667785303,10.0,1
Bahrain Grand Prix 2018,C3-C2-C3-C3,-1.259214442384998,13.0,1
Bahrain Grand Prix 2018,C2-C3-C1,0.05217467031515355,14.0,1
Chinese Grand Prix 2018,C4-C2,-2.156549138569824,6.6,5
Chinese Grand Prix 2018,C2-C1,-3.0848394417656815,9.6,10
Chinese Grand Prix 2018,C2-C4,-4.0169066009816135,11.0,1
Chinese Grand Prix 2018,C2-C2,-3.259214442384998,15.0,1
Chinese Grand Prix 2018,C4-C4,-9.290138359965379,17.0,1
Chinese Grand Prix 2018,C1-C4,-8.172444475505525,18.0,1
Azerbaijan Grand Prix 2018,C3-C2-C4,0.11515689614113156,4.75,4
Azerbaijan Grand Prix 2018,C2-C4,-0.9729632863773227,7.333333333333333,3
Azerbaijan Grand Prix 2018,C4-C2-C3,3.569494779761092,3.0,1
Azerbaijan Grand Prix 2018,C4-C2-C4,-0.9749798026136394,8.5,2
Azerbaijan Grand Prix 2018,C3-C2-C4-C4,0.25576441515745785,9.0,1
Azerbaijan Grand Prix 2018,C4-C3-C4,2.910768360691524,10.0,1
Azerbaijan Grand Prix 2018,C2-C4-C4-C4,-0.5618736858520581,11.0,1
Spanish Grand Prix 2018,C2-C1,-1.1388344488616744,5.625,8
Spanish Grand Prix 2018,C2-C1-C1,-2.2650908539598262,4.0,1
Spanish Grand Prix 2018,C3-C1,-3.3738411468941747,8.0,1
Spanish Grand Prix 2018,C2-C1-C2,-0.32574825645062866,9.0,1
Spanish Grand Prix 2018,C1-C1,-0.36708059151182404,12.0,1
Spanish Grand Prix 2018,C1-C2,-3.136497144393232,13.0,1
Spanish Grand Prix 2018,C1-C1-C3,-1.0850467950155398,14.0,1
Monaco Grand Prix 2018,C5-C4,-1.9171394101270072,4.0,5
Monaco Grand Prix 2018,C5-C3,-3.1379631710837677,7.5,4
Monaco Grand Prix 2018,C4-C5,0.4608019384807047,8.5,2
Monaco Grand Prix 2018,C4-C3,-1.859580074611455,12.0,2
Monaco Grand Prix 2018,C4-C3-C5,-4.860071546695956,14.5,2
Monaco Grand Prix 2018,C5-C5-C4-C3,-6.550749293233286,16.0,1
Monaco Grand Prix 2018,C4-C3-C5-C5,-7.145790973409358,17.0,1
Canadian Grand Prix 2018,C4-C3,-2.096872377479448,7.0,7
Canadian Grand Prix 2018,C5-C3,-2.274329117379244,7.0,6
Canadian Grand Prix 2018,C5-C3-C3,-8.21343772158411,14.0,1
Canadian Grand Prix 2018,C3,-3.961615589847323,15.0,1
Canadian Grand Prix 2018,C3-C5,-7.317075454845732,16.0,1
Canadian Grand Prix 2018,C3-C4,-4.660138535322817,17.0,1
French Grand Prix 2018,C3-C2,-0.40510473958202337,2.3333333333333335,3
French Grand Prix 2018,C4-C3,-2.623785894224964,9.5,4
French Grand Prix 2018,C2-C4,-2.6630235324730784,7.0,2
French Grand Prix 2018,C4-C2,-2.369482730240911,7.0,2
French Grand Prix 2018,C2-C3,-5.842543664448103,7.0,1
French Grand Prix 2018,C3-C4,-3.2113028921990674,12.5,2
French Grand Prix 2018,C4,-2.658770921933904,15.0,1
Austrian Grand Prix 2018,C3-C2,0.13728048057169598,7.0,6
Austrian Grand Prix 2018,C4-C2,0.16385019420951208,3.5,4
Austrian Grand Prix 2018,C2-C3,1.6346418393706532,10.0,1
Austrian Grand Prix 2018,C4-C2-C3,-6.327179585003213,13.0,2
Austrian Grand Prix 2018,C3-C2-C4,-1.235257290707228,13.0,1
British Grand Prix 2018,C2-C1-C2,-1.7470348098287343,7.285714285714286,7
British Grand Prix 2018,C2-C1,-2.184774996902346,7.2,5
British Grand Prix 2018,C1-C0,0.3622350113009647,6.0,1
British Grand Prix 2018,C1-C2,-0.9659944727150354,12.0,1
German Grand Prix 2018,C2-C4,2.834523560203223,5.0,2
German Grand Prix 2018,C4-C2-C4,-1.053419241531413,2.5,2
German Grand Prix 2018,C4-C2-I-C4,-5.733692183418228,9.5,2
German Grand Prix 2018,C4-C1-I-C4,-4.734951037487269,8.5,4
German Grand Prix 2018,C4-C2,-0.26790854227008687,7.5,2
German Grand Prix 2018,C2-C1-C4,-0.9970283975632599,11.5,2
German Grand Prix 2018,C2-W-C4,-4.740821175530382,14.0,1
Hungarian Grand Prix 2018,C4-C2,-2.6328169281228564,7.166666666666667,6
Hungarian Grand Prix 2018,C2-C4,0.21963161459649738,6.333333333333333,3
Hungarian Grand Prix 2018,C4-C2-C2,-1.2646329872449726,3.0,1
Hungarian Grand Prix 2018,C2-C1,-3.4124004448321372,11.0,3
Hungarian Grand Prix 2018,C4-C1,-6.5693283011875785,13.0,2
Hungarian Grand Prix 2018,C2-C1-C4,-4.483134994098622,12.0,1
Hungarian Grand Prix 2018,C1-C4,-8.265508539844117,17.0,1
Belgian Grand Prix 2018,C3-C2,-1.7272814426671037,4.333333333333333,6
Belgian Grand Prix 2018,C2-C3-C2,6.981047916662634,4.0,1
Belgian Grand Prix 2018,C3-C3,-3.4459931694309147,7.5,2
Belgian Grand Prix 2018,C2-C3,-3.4706647457011788,12.25,4
Belgian Grand Prix 2018,C1-C3,-2.901622247794796,11.0,1
Belgian Grand Prix 2018,C2-C1-C3,-4.568922195225236,15.0,1
Italian Grand Prix 2018,C3-C2,-2.081077332441567,7.0,11
Italian Grand Prix 2018,C2-C3,-2.196538736106875,9.333333333333334,3
Italian Grand Prix 2018,C3-C3,-4.553974299686276,15.0,1
Italian Grand Prix 2018,C2-C1,-9.637607647341582,16.0,1
Singapore Grand Prix 2018,C5-C2,-3.0849359835374255,5.4,5
Singapore Grand Prix 2018,C5-C4,-3.082714986418283,8.0,4
Singapore Grand Prix 2018,C4-C2,-1.0856910038304066,9.0,3
Singapore Grand Prix 2018,C4-C5,-2.1626400636100143,10.0,2
Singapore Grand Prix 2018,C2-C4,-2.3879641641174683,14.0,1
Singapore Grand Prix 2018,C5-C4-C2-C2,-11.948344323856173,16.0,1
Singapore Grand Prix 2018,C5-C4-C5,-7.047693231977174,17.0,1
Singapore Grand Prix 2018,C4-C2-C5,-8.260339853319218,18.5,2
Russian Grand Prix 2018,C4-C2,-4.1666556271120925,9.125,8
Russian Grand Prix 2018,C2-C4,-1.3273497404022452,10.0,4
Russian Grand Prix 2018,C5-C2,-4.943779927376111,9.0,5
Russian Grand Prix 2018,C5-C2-C4,-7.170440812583107,13.0,1
Japanese Grand Prix 2018,C2-C1,-1.5165528146610068,8.25,8
Japanese Grand Prix 2018,C3-C2,-4.151982944629076,8.0,5
Japanese Grand Prix 2018,C3-C1,-2.6614592769732504,7.0,2
Japanese Grand Prix 2018,C2-C1-C3,-7.372552419111374,16.5,2
United States Grand Prix 2018,C4-C2,-1.3348983148317248,5.0,3
United States Grand Prix 2018,C2-C3,3.8528610549277866,6.0,2
United States Grand Prix 2018,C3-C2-C2,-1.7778820047755666,7.0,2
United States Grand Prix 2018,C3-C2,-0.5742303299145037,6.25,4
United States Grand Prix 2018,C3-C2-C4,-3.135890593144042,13.0,2
United States Grand Prix 2018,C3-C2-C3,-4.616277471772891,13.0,1
Mexican Grand Prix 2018,C4-C3-C3,0.1578135401304921,1.0,1
Mexican Grand Prix 2018,C4-C3-C4,-0.97621111687756,3.0,2
Mexican Grand Prix 2018,C4-C3,-0.17716672707311654,8.0,3
Mexican Grand Prix 2018,C4-C3-C4-C5,-2.1089832264065724,5.0,1
Mexican Grand Prix 2018,C5-C3,-2.299107003218029,7.333333333333333,3
Mexican Grand Prix 2018,C5-C3-C3,1.5724352925503773,10.0,1
Mexican Grand Prix 2018,C3-C3-C4,-4.635657383936309,11.0,1
Mexican Grand Prix 2018,C4-C4-C3,-2.106211530275102,12.0,1
Mexican Grand Prix 2018,C3-C4-C3,-5.823856642160109,14.0,1
Mexican Grand Prix 2018,C3-C4,-5.746702077287198,15.0,1
Mexican Grand Prix 2018,C3-C4-C5,-5.586397670682082,16.0,1
Brazilian Grand Prix 2018,C3-C1,-3.6268310407267315,7.25,4
Brazilian Grand Prix 2018,C3-C2,0.06398179132242292,5.333333333333333,3
Brazilian Grand Prix 2018,C2-C1,-3.5617044836038065,11.0,3
Brazilian Grand Prix 2018,C3-C1-C2,-3.2646604452498265,5.0,1
Brazilian Grand Prix 2018,C2-C1-C3,-5.570094438000609,13.25,4
Brazilian Grand Prix 2018,C2-C3,-3.2133571125842417,9.0,1
Brazilian Grand Prix 2018,C1-C3,-1.663679581693705,11.0,1
Brazilian Grand Prix 2018,C2-C3-C3,-4.590282350368801,15.0,1
Abu Dhabi Grand Prix 2018,C4-C3,-0.9017831425225573,6.285714285714286,7
Abu Dhabi Grand Prix 2018,C5-C3,-2.278914974433299,6.333333333333333,3
