Season,Round,Driver,Points
2018,1,VET,25.0
2018,1,HAM,18.0
2018,1,RAI,15.0
2018,1,RIC,12.0
2018,1,ALO,10.0
2018,1,VER,8.0
2018,1,HUL,6.0
2018,1,BOT,4.0
2018,1,VAN,2.0
2018,1,SAI,1.0
2018,1,PER,0.0
2018,1,OCO,0.0
2018,1,LEC,0.0
2018,1,STR,0.0
2018,1,HAR,0.0
2018,1,GRO,0.0
2018,1,MAG,0.0
2018,1,GAS,0.0
2018,1,ERI,0.0
2018,1,SIR,0.0
2018,2,VET,50.0
2018,2,HAM,33.0
2018,2,BOT,22.0
2018,2,ALO,16.0
2018,2,RAI,15.0
2018,2,HUL,14.0
2018,2,RIC,12.0
2018,2,GAS,12.0
2018,2,MAG,10.0
2018,2,VER,8.0
2018,2,VAN,6.0
2018,2,ERI,2.0
2018,2,SAI,1.0
2018,2,OCO,1.0
2018,2,PER,0.0
2018,2,LEC,0.0
2018,2,STR,0.0
2018,2,HAR,0.0
2018,2,GRO,0.0
2018,2,SIR,0.0
2018,3,VET,54.0
2018,3,HAM,45.0
2018,3,BOT,40.0
2018,3,RIC,37.0
2018,3,RAI,30.0
2018,3,ALO,22.0
2018,3,HUL,22.0
2018,3,VER,18.0
2018,3,GAS,12.0
2018,3,MAG,11.0
2018,3,VAN,6.0
2018,3,SAI,3.0
2018,3,ERI,2.0
2018,3,OCO,1.0
2018,3,PER,0.0
2018,3,LEC,0.0
2018,3,STR,0.0
2018,3,HAR,0.0
2018,3,GRO,0.0
2018,3,SIR,0.0
2018,4,HAM,70.0
2018,4,VET,66.0
2018,4,RAI,48.0
2018,4,BOT,40.0
2018,4,RIC,37.0
2018,4,ALO,28.0
2018,4,HUL,22.0
2018,4,VER,18.0
2018,4,PER,15.0
2018,4,SAI,13.0
2018,4,GAS,12.0
2018,4,MAG,11.0
2018,4,VAN,8.0
2018,4,LEC,8.0
2018,4,STR,4.0
2018,4,ERI,2.0
2018,4,OCO,1.0
2018,4,HAR,1.0
2018,4,GRO,0.0
2018,4,SIR,0.0
2018,5,HAM,95.0
2018,5,VET,78.0
2018,5,BOT,58.0
2018,5,RAI,48.0
2018,5,RIC,47.0
2018,5,VER,33.0
2018,5,ALO,32.0
2018,5,HUL,22.0
2018,5,SAI,19.0
2018,5,MAG,19.0
2018,5,PER,17.0
2018,5,GAS,12.0
2018,5,LEC,9.0
2018,5,VAN,8.0
2018,5,STR,4.0
2018,5,ERI,2.0
2018,5,OCO,1.0
2018,5,HAR,1.0
2018,5,GRO,0.0
2018,5,SIR,0.0
2018,6,HAM,110.0
2018,6,VET,96.0
2018,6,RIC,72.0
2018,6,BOT,68.0
2018,6,RAI,60.0
2018,6,VER,35.0
2018,6,ALO,32.0
2018,6,HUL,26.0
2018,6,SAI,20.0
2018,6,MAG,19.0
2018,6,GAS,18.0
2018,6,PER,17.0
2018,6,OCO,9.0
2018,6,LEC,9.0
2018,6,VAN,8.0
2018,6,STR,4.0
2018,6,ERI,2.0
2018,6,HAR,1.0
2018,6,GRO,0.0
2018,6,SIR,0.0
2018,7,VET,121.0
2018,7,HAM,120.0
2018,7,BOT,86.0
2018,7,RIC,84.0
2018,7,RAI,68.0
2018,7,VER,50.0
2018,7,ALO,32.0
2018,7,HUL,32.0
2018,7,SAI,24.0
2018,7,MAG,19.0
2018,7,GAS,18.0
2018,7,PER,17.0
2018,7,OCO,11.0
2018,7,LEC,10.0
2018,7,VAN,8.0
2018,7,STR,4.0
2018,7,ERI,2.0
2018,7,HAR,1.0
2018,7,GRO,0.0
2018,7,SIR,0.0
2018,8,HAM,145.0
2018,8,VET,131.0
2018,8,RIC,96.0
2018,8,BOT,92.0
2018,8,RAI,83.0
2018,8,VER,68.0
2018,8,HUL,34.0
2018,8,ALO,32.0
2018,8,SAI,28.0
2018,8,MAG,27.0
2018,8,GAS,18.0
2018,8,PER,17.0
2018,8,OCO,11.0
2018,8,LEC,11.0
2018,8,VAN,8.0
2018,8,STR,4.0
2018,8,ERI,2.0
2018,8,HAR,1.0
2018,8,GRO,0.0
2018,8,SIR,0.0
2018,9,VET,146.0
2018,9,HAM,145.0
2018,9,RAI,101.0
2018,9,RIC,96.0
2018,9,VER,93.0
2018,9,BOT,92.0
2018,9,MAG,37.0
2018,9,ALO,36.0
2018,9,HUL,34.0
2018,9,SAI,28.0
2018,9,PER,23.0
2018,9,OCO,19.0
2018,9,GAS,18.0
2018,9,LEC,13.0
2018,9,GRO,12.0
2018,9,VAN,8.0
2018,9,STR,4.0
2018,9,ERI,3.0
2018,9,HAR,1.0
2018,9,SIR,0.0
2018,10,VET,171.0
2018,10,HAM,163.0
2018,10,RAI,116.0
2018,10,RIC,106.0
2018,10,BOT,104.0
2018,10,VER,93.0
2018,10,HUL,42.0
2018,10,ALO,40.0
2018,10,MAG,39.0
2018,10,SAI,28.0
2018,10,OCO,25.0
2018,10,PER,24.0
2018,10,GAS,18.0
2018,10,LEC,13.0
2018,10,GRO,12.0
2018,10,VAN,8.0
2018,10,STR,4.0
2018,10,ERI,3.0
2018,10,HAR,1.0
2018,10,SIR,0.0
2018,11,HAM,188.0
2018,11,VET,171.0
2018,11,RAI,131.0
2018,11,BOT,122.0
2018,11,RIC,106.0
2018,11,VER,105.0
2018,11,HUL,52.0
2018,11,ALO,40.0
2018,11,MAG,39.0
2018,11,PER,30.0
2018,11,OCO,29.0
