grand_prix,laps,length_km,turn_count,drs_zones,pit_lane_length_m,degradation_level,street_circuit,avg_track_temp,avg_air_temp,avg_humidity,rainfall_mm,safety_car_laps
Australian Grand Prix 2018,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7
Bahrain Grand Prix 2018,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3
Chinese Grand Prix 2018,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5
Azerbaijan Grand Prix 2018,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
Spanish Grand Prix 2018,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
Monaco Grand Prix 2018,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
Canadian Grand Prix 2018,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4
French Grand Prix 2018,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7
Austrian Grand Prix 2018,71,4.318,10,3,359,Medium,False,45.87934782608695,23.176086956521743,37.141304347826086,0.0,2
British Grand Prix 2018,52,5.891,18,2,510,High,False,52.16938775510204,27.43163265306122,38.73979591836735,0.0,10
German Grand Prix 2018,67,4.574,17,2,307,Low,False,40.66826923076923,26.40192307692308,54.80769230769231,0.25961538461538464,7
Hungarian Grand Prix 2018,70,4.381,14,1,364,Medium,False,51.08971962616822,33.75887850467289,33.00654205607477,0.0,4
Belgian Grand Prix 2018,44,7.004,19,2,367,Medium,False,27.89811320754717,17.327358490566038,37.700943396226414,0.0,4
Italian Grand Prix 2018,53,5.793,11,2,417,Low,False,30.822222222222223,22.189898989898992,63.8070707070707,0.23232323232323232,3
Singapore Grand Prix 2018,61,5.063,19,3,404,Low,True,33.12406015037594,29.86541353383459,66.03609022556391,0.0,4
Russian Grand Prix 2018,53,5.848,18,2,418,Low,False,29.945454545454545,24.778181818181817,61.30818181818182,0.01818181818181818,0
Japanese Grand Prix 2018,53,5.807,18,1,405,High,False,37.17037037037037,28.26481481481482,50.51574074074074,0.0,6
United States Grand Prix 2018,56,5.513,20,2,414,Medium,False,30.486259541984733,21.93358778625954,37.555725190839695,0.0,2
Mexican Grand Prix 2018,71,4.304,17,2,378,High,False,34.47028985507246,20.1231884057971,50.70942028985507,0.0,5
Brazilian Grand Prix 2018,71,4.309,15,2,295,Medium,False,40.0688,23.7696,75.4128,0.0,0
Abu Dhabi Grand Prix 2018,55,5.554,16,2,630,Medium,False,33.31824817518248,31.273722627737225,45.43795620437956,0.043795620437956206,6
Australian Grand Prix 2019,58,5.303,14,2,280,Medium,True,41.31311475409837,23.477868852459014,70.4532786885246,0.0,0
Bahrain Grand Prix 2019,57,5.412,15,3,440,High,False,28.610852713178296,26.210852713178294,53.372093023255815,0.0,3
Chinese Grand Prix 2019,56,5.451,16,2,370,High,False,27.33700787401575,19.32992125984252,45.98110236220473,0.0,2
