DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
15.85,26.1,3.0,1.0,1,25,C4,32,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,35
18.15,33.4,1.0,2.0,1,17,C4,39,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,11
10.25,26.1,2.0,3.0,1,17,C4,40,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,12
10.0,18.4,8.0,4.0,1,25,C3,32,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,20
0.85,1.5,10.0,5.0,1,25,C4,32,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,19
8.4,18.4,4.0,6.0,1,20,C3,37,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,4
2.15,2.85,7.0,7.0,1,23,C4,34,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,6
15.25,33.4,15.0,8.0,1,24,C4,33,C3,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,8
0.65,1.5,11.0,9.0,1,24,C4,33,C3,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,4
2.7,2.85,9.0,10.0,1,21,C4,36,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
5.0,9.35,12.0,11.0,1,23,C4,34,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
4.35,9.35,14.0,12.0,1,22,C4,35,C2,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
0.0,0.25,18.0,13.0,2,19,C3,7,C2,31,C4,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
2.0,4.15,13.0,14.0,2,24,C3,4,C2,29,C4,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
0.0,2.65,16.0,15.0,1,21,C2,35,C4,0,,0,,58,5.303,14,2,280,Medium,True,36.324324324324316,24.077477477477483,30.91531531531532,0.04504504504504504,7,0
25.0,40.0,1.0,1.0,1,16,C3,39,C2,0,,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,25
4.0,22.0,3.0,2.0,1,19,C3,37,C1,0,,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,21
18.0,22.0,9.0,3.0,1,25,C2,31,C1,0,,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,28
0.0,0.0,5.0,4.0,2,14,C3,19,C2,23,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,14
0.0,0.0,6.0,5.0,2,12,C3,14,C3,30,C2,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,12
6.0,7.0,7.0,6.0,2,14,C3,24,C2,18,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,10
10.0,12.0,13.0,7.0,2,13,C2,25,C1,17,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,12
2.0,12.0,14.0,8.0,2,9,C3,18,C2,28,C1,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,8
0.0,0.0,17.0,9.0,1,22,C2,33,C1,0,,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,4
0.0,0.0,8.0,10.0,2,14,C3,20,C1,21,C2,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,-2
1.0,7.0,10.0,11.0,2,15,C3,10,C3,30,C2,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,-1
0.0,0.0,19.0,12.0,2,2,C2,31,C1,22,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
0.0,0.0,16.0,13.0,3,17,C3,12,C2,15,C3,11,C3,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
0.0,0.0,20.0,14.0,2,9,C2,20,C3,26,C1,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
0.0,0.0,18.0,15.0,2,21,C2,18,C1,16,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
0.0,0.0,12.0,16.0,2,8,C2,23,C1,24,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
0.0,0.0,11.0,17.0,2,19,C3,22,C2,14,C3,0,,57,5.412,15,3,440,High,False,32.19805825242719,27.982524271844653,47.36310679611651,0.0,3,0
6.0,10.0,6.0,1.0,1,46,C4,9,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,42
11.0,27.5,3.0,2.0,1,46,C2,9,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,21
7.5,32.5,2.0,3.0,1,46,C2,9,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,12
16.5,27.5,4.0,4.0,1,45,C2,10,C1,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,12
4.0,10.0,5.0,5.0,1,45,C4,10,C2,0,,0,,56,5.451,16,2,370,High,False,37.01964285714286,19.446428571428573,24.089285714285715,0.017857142857142856,5,10
